iteration,average_performance
1,1.482282220366785
2,1.2405524095862865
3,1.1714738507766693
4,0.912835782883449
5,1.1788499612535845
6,1.1599384585491366
7,0.24197288611039913
8,0.4254106504666048
9,1.3290071382471402
10,0.262841694877768
11,0.16634135667425062
12,0.03014176421960943
13,0.04696539983932993
14,0.341345304935275
15,0.35577901637108195
16,-0.03487092424871803
17,0.4526553062417742
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
