run_num,leg_damage_scenario_index,num_iterations,best_index,best_performance
0,0,1,34885,3.9199103008692715
1,0,1,34885,3.9199103008692715
2,0,1,34885,3.9199103008692715
3,0,1,34885,3.9199103008692715
4,0,1,34885,3.9199103008692715
5,0,1,34885,3.9199103008692715
6,0,1,34885,3.9199103008692715
7,0,1,34885,3.9199103008692715
8,0,1,34885,3.9199103008692715
9,0,1,34885,3.9199103008692715
10,0,1,34885,3.9199103008692715
11,0,1,34885,3.9199103008692715
12,0,1,34885,3.9199103008692715
13,0,1,34885,3.9199103008692715
14,0,1,34885,3.9199103008692715
15,0,1,34885,3.9199103008692715
16,0,1,34885,3.9199103008692715
17,0,1,34885,3.9199103008692715
18,0,1,34885,3.9199103008692715
19,0,1,34885,3.9199103008692715
0,1,14,5624,2.8038520219772898
1,1,14,5624,2.8038520219772898
2,1,14,5624,2.8038520219772898
3,1,14,5624,2.8038520219772898
4,1,14,5624,2.8038520219772898
5,1,14,5624,2.8038520219772898
6,1,14,5624,2.8038520219772898
7,1,14,5624,2.8038520219772898
8,1,14,5624,2.8038520219772898
9,1,14,5624,2.8038520219772898
10,1,14,5624,2.8038520219772898
11,1,14,5624,2.8038520219772898
12,1,14,5624,2.8038520219772898
13,1,14,5624,2.8038520219772898
14,1,14,5624,2.8038520219772898
15,1,14,5624,2.8038520219772898
16,1,14,5624,2.8038520219772898
17,1,14,5624,2.8038520219772898
18,1,14,5624,2.8038520219772898
19,1,14,5624,2.8038520219772898
0,1,9,697,3.3395685231751653
1,1,9,697,3.3395685231751653
2,1,9,697,3.3395685231751653
3,1,9,697,3.3395685231751653
4,1,9,697,3.3395685231751653
5,1,9,697,3.3395685231751653
6,1,9,697,3.3395685231751653
7,1,9,697,3.3395685231751653
8,1,9,697,3.3395685231751653
9,1,9,697,3.3395685231751653
10,1,9,697,3.3395685231751653
11,1,9,697,3.3395685231751653
12,1,9,697,3.3395685231751653
13,1,9,697,3.3395685231751653
14,1,9,697,3.3395685231751653
15,1,9,697,3.3395685231751653
16,1,9,697,3.3395685231751653
17,1,9,697,3.3395685231751653
18,1,9,697,3.3395685231751653
19,1,9,697,3.3395685231751653
0,1,6,205,3.2905659437258894
1,1,6,205,3.2905659437258894
2,1,6,205,3.2905659437258894
3,1,6,205,3.2905659437258894
